,Review,Departments
4877,not working well begin initially thought user error never used apple pencil various troubleshooting efforts frustration use left alone forever finally tried axis not signed digital art course learn apple pencil stopped working entirely tried troubleshoot following instructions apple webster nothing worked reached apple support biggest joke decade got booted half hour frustration pointed back page troubleshoot product repair plus shipping not ,"Customer Service, Product Quality, Shipping, Technical Support"
4878,gage not working also not good quality,Product Quality
4879,shampoo size small clear disappointment,General
4880,shoes ok according price ordered no delivered no comfortability level shoes compromising ,Sales
4881,liked everything grew dark brightly except little big,General
4882,stick curtis not material not work kitchen times check buying planning install wood sticking fine,"Product Quality, Technical Support, Sales"
4883,sound coming indoor like electric transformer can not sleep comfortably noisy sound ,General
4884,light weight,General
4885,quality not good low quality,Product Quality
4886,poor quality not help pimples,"Customer Service, Product Quality"
4887,good size also pregnant women however seller not responsive asked pink purple colour thought confirmed send red no real attention paid customer ,"Customer Service, Shipping"
4888,cheap awesome,General
4889,good cannot able refill one time use product,Product Quality
4890,product not work pad promptly returned went up store august th august th no money returned beware ,Product Quality
4891,waste money not recommend anyone product seen would wonderful looking poor quality can purchase thinks rubles cosmetic shop without time wasting without delivery charges paying ,"Product Quality, Shipping, Sales"
4892,massage not working bad product ply not buy ,"Product Quality, Sales"
4893,poor quality size small disgusting useless not recommend ,Product Quality
4894,entire box damned outside probably due leakage two boxes mishandling delivery,Shipping
4895,screwdriver bits fine issue fitting handle handle socket little small another handle fit decided not return ,"Technical Support, Marketing"
4896,light weight low material nothing extra ordinary one bulb changing colour low material can see whole board inside mouse stroll,Product Quality
4897,third class fraud,General
4898,quality overall great length long waist small wish can return ,Product Quality
4899,disappointed totally face,General
4900,not received gone handfree non branded one ,"Shipping, Marketing"
4901,fine carry cable two,General
4902,lights average led bulb intensity low compared fairy lights,General
4903,ordered ll size delivered l,Sales
4904,safely delivered guns please improve packing,General
4905,tube light refrigerator not working properly ,Product Quality
4906,fine quality,Product Quality
4907,waiting refund ,General
4908,not demand size,General
4909,not buy different from pick trouser warm shirts color light fabric not good ,Sales
4910,fresh product big size ,Product Quality
4911,one his not thing ,General
4912,product good delivery not time,"Product Quality, Shipping"
4913,short delivery time also shine night review average ,Shipping
4914,not satisfy packing seal opened received c option not available thermometer,Shipping
4915,nice packing good quality bottle looks good not used yet hope works well also,Product Quality
4916,cut quality good satisfied loved quality ,Product Quality
4917,bought inverted as seller produce ugly noise due vibration operation theaters secondly remote provides horizontal swing option whereas ac not option ,General
